claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	“We have a great general, four-star general, today you read it in all the papers going to potentially serve five years in jail for lying to the FBI, one lie. She's lied hundreds of times to the people, to congress, and to the FBI. He's going to probably go to jail.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/separating-fact-from-fiction-on-clintons-fbi-statements-230056	None	None	None	Josh Gerstein	None	Separating fact from fiction on Clinton's FBI statements	2016-10-19 23:12:32	None
2	"Aleppo is a disaster. It is a humanitarian nightmare, but it has fallen...from any standpoint." - Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/aleppo-is-in-crisis-but-it-hasnt-fallen-230054	None	None	None	Connor O’Brien	None	Aleppo is in crisis, but it hasn't 'fallen'	2016-10-19 23:08:38	None
3	“If you look at your voter rolls, you'll see millions of people that are registered to vote. Millions. This isn't coming from me. This is coming from Pew report and other places. Millions of people that are registered to vote that shouldn't be registered to vote.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/the-pew-study-trump-cited-isnt-as-clear-cut-as-trump-suggests-230055	None	None	None	Benjamin Oreskes	None	The Pew study Trump cited isn’t as clear-cut as Trump suggests	2016-10-19 23:07:51	None
4	“The premiums are going up 60 percent, 70 percent, 80 percent. Next year, they're going to go up over 100 percent.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-misleads-on-obamacare-premium-increases-230052	None	None	None	Rachana Pradhan	None	Trump misleads on Obamacare premium increases	2016-10-19 22:53:04	None
5	“What I have put forward doesn't add a penny to the debt.” — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/will-clintons-plan-add-to-the-federal-debt-230049	None	None	None	Katy O'Donnell	None	Will Clinton’s plan add to the federal debt?	2016-10-19 22:45:16	None
6	“I believe it was her campaign that did it just like if you look at what came out today on the clips where I was wondering what happened with my rally in Chicago and other rallies where we had such violence. She's the one and Obama that caused the violence. They hired people. They paid them $1500, and they're on tape saying be violent, cause fights, do bad things.” – Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/is-clinton-encouraging-violence-at-trumps-rallies-230048	None	None	None	Darren Samuelsohn	None	Is Clinton encouraging violence at Trump's rallies?	2016-10-19 22:39:55	None
7	"Well, you know, once again Donald is implying he didn't support the invasion of Iraq. I said it was a mistake. I said that years ago. He has consistently denied what is… What is a very clear fact that before the invasion he supported it. Google Donald Trump Iraq and you'll see the dozens of sources which verify that he was for the invasion of Iraq." — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-didnt-oppose-the-iraq-war-if-anything-230046	None	None	None	Benjamin Oreskes	None	Trump didn't oppose the Iraq war, if anything...	2016-10-19 22:34:58	None
8	“Hillary wants to give amnesty. She wants to have open borders.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-misrepresents-clintons-position-on-open-borders-230045	None	None	None	Ian Kullgren	None	Trump misrepresents Clinton’s position on 'open borders'	2016-10-19 22:32:18	None
9	This is a person who has been very cavalier, even casual about the use of nuclear weapons. He has advocated more countries getting them. Japan. Korea. Even Saudi Arabia.” — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/true-trump-has-advocated-more-countries-getting-nuclear-weapons-230042	None	None	None	Connor O’Brien	None	True: Trump has advocated more countries getting nuclear weapons	2016-10-19 22:26:01	None
10	"People contribute. I contribute. The money goes, 100 percent, to a lot of charities, including a lot of military.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/yes-trump-used-foundation-money-to-buy-a-self-portrait-230041	None	None	None	Isaac Arnsdorf	None	Yes, Trump used foundation money to buy a self-portrait	2016-10-19 22:22:57	None
11	“When you ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department. Six billion was either stolen, they don't know. It is gone. $6 billion.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-is-wrong-6-billion-didnt-go-missing-in-clintons-state-dept-230040	None	None	None	Isaac Arnsdorf	None	Trump is wrong: $6 billion didn’t go missing in Clinton’s State Dept.	2016-10-19 22:22:27	None
12	“[Trump] held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough… to be assaulted.” — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/fact-trump-suggested-the-women-accusing-him-of-sexual-assault-arent-attractive-230037	None	None	None	Alex Byers	None	Fact: Trump suggested the women accusing him of sexual assault aren’t attractive	2016-10-19 22:16:12	None
13	“Last week as you know, the end of last week, they came out with an anemic jobs report. A terrible jobs report. I said, ‘Is that the last jobs report before the election?’ Because if it is, I should win easily. The report was so bad.”--	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/how-bad-was-the-jobs-report-trump-is-blasting-230036	None	None	None	None	None	How 'bad' was the jobs report Trump is blasting?	2016-10-19 22:15:38	None
14	“Why aren't they paying? I questioned, why aren't they paying? Since I did this — this was a year ago — all of a sudden they're paying. And I've been given a lot of credit for it. They're starting to pay up. We're protecting people; they have to pay up. And I'm a big fan of NATO, but they have to pay up.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/nato-members-are-increasing-defense-spending-but-that-has-nothing-to-do-with-trump-230034	None	None	None	Benjamin Oreskes	None	NATO members are increasing defense spending, but that has nothing to do with Trump	2016-10-19 22:07:02	None
15	“What is really important about WikiLeaks is that the Russian government has engaged in espionage against Americans. They have hacked American websites, American accounts of private people, of institutions. Then they have given that information to WikiLeaks for the purpose of putting it on the internet. This has come from the highest levels of the Russian government. Clearly from Putin himself in an effort, as 17 of our intelligence agencies have confirmed, to influence our election.” — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/on-russian-hacking-connection-the-us-isnt-as-sure-as-clinton-says-it-is-230033	None	None	None	Cory Bennett	None	On Russian hacking connection, the U.S. isn't as sure as Clinton says it is	2016-10-19 22:06:19	None
16	“If you go with what Hillary is saying, you can take a baby and rip the baby out of the womb of the mother just prior to the birth of the baby.” – Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-misses-the-mark-on-partial-birth-abortion-laws-230029	None	None	None	Rachana Pradhan	None	Trump misses the mark on 'partial-birth' abortion laws	2016-10-19 21:59:49	None
17	“First of all, her plan will raise taxes and even double your taxes” —	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-is-wrong-clintons-plan-will-not-double-americans-taxes-230027	None	None	None	Danny Vinik	None	Trump is wrong: Clinton’s plan will not double Americans’ taxes	2016-10-19 21:57:15	None
18	“Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts.” — Donald Trump.	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/did-clinton-once-want-to-build-a-wall-too-230026	None	None	None	Ben Wofford	None	Did Clinton once want to build 'a wall' too?	2016-10-19 21:55:50	None
19	“She has no idea whether it is Russia, China or anybody else.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-is-wrong-on-russian-hackers-us-does-have-an-idea-230024	None	None	None	Darren Samuelsohn	None	Trump is wrong on Russian hackers; U.S. does have an ‘idea’	2016-10-19 21:50:13	None
20	“We are going to stop radical Islamic terrorism in this country. She won't even mention the words and neither will president Obama.” — Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/clinton-did-say-radical-islamism-230021	None	None	None	Alex Byers	None	Clinton did say 'radical Islamism'	2016-10-19 21:46:46	None
21	“The Russians can't believe it. She has been outsmarted by Putin and all you have to do is look at the Middle East. We’ve spent $6 trillion. They've taken over the Middle East.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/no-russia-has-not-taken-over-the-middle-east-230020	None	None	None	Danny Vinik	None	No, Russia has not taken over the Middle East	2016-10-19 21:45:58	None
22	“I was in New Hampshire the other day. The biggest complaint they have… is heroin that pours across our southern borders. Just pouring and destroying our youth. It is poisoning the blood of their youth and plenty of other people. We have to have strong borders. We have to keep the drugs out of our country.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/true-most-heroin-in-the-us-comes-from-mexico-and-colombia-230019	None	None	None	Katy O'Donnell	None	True: Most heroin in the U.S. comes from Mexico and Colombia	2016-10-19 21:41:44	None
23	“As you know, the border patrol agents — 16,500 plus ICE — last week endorsed me. First time they've endorsed a candidate. It means their job is tougher. But they know what’s going on. They know it better than anyone. They want strong borders. They feel we have to have strong borders. … The border patrol, ICE, they all want the wall.” —Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-yet-again-falsely-claims-that-ice-endorsed-him-230016	None	None	None	Benjamin Oreskes	None	Trump (yet again) falsely claims that ICE endorsed him	2016-10-19 21:33:09	None
24	“She called it the gold standard. And by the way, at the last debate she lied. It turns out she lied and said she didn't say it. They said that she lied. And she lied. Because it turned out she did say the gold standard and she said she didn’t say it.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/yes-clinton-did-call-tpp-the-gold-standard-229501	None	None	None	Ian Kullgren	None	Yes, Clinton did call TPP the 'gold standard'	2016-10-09 23:01:41	None
25	“We have the slowest growth since 1929.” – Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/trump-wrongly-claims-economic-growth-is-slowest-since-1929-229500	None	None	None	Danny Vinik	None	Trump wrongly claims economic growth is slowest since 1929	2016-10-09 22:45:01	None
26	We have never in the history of our country been in a situation where an adversary of foreign power is working so hard to influence the outcome of the elections and they are not doing it to get me elected. They are doing it to influence the election for Donald Trump.” — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/clinton-says-russia-is-hacking-to-get-trump-elected-researchers-arent-so-sure-229497	None	None	None	Martin Matishak	None	Clinton says Russia is hacking to get Trump elected — researchers aren’t so sure.	2016-10-09 22:34:56	None
27	“Hillary Clinton has friends that want all of these provisions, including the carried interest [provision]. That's very important to Wall Street people, and they want the carried interest provision and it's interesting why she is leaving carried interest.” — Trump said.	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/clinton-was-late-to-find-her-opposition-to-carried-interest-229496	None	None	None	Katy O'Donnell	None	Clinton was late to find her opposition to carried interest	2016-10-09 22:33:44	None
28	“You wrote in one of your books that the most important characteristic of a good leader is discipline. You said if a leader doesn't have it, they won't be one for long. In the days after the first debate, you sent out a series of tweets from 3:00 A.M. To 5:00 to check out a sex tape.” — Anderson Cooper	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/yes-trump-did-urge-people-to-check-out-a-sex-tape-229495	None	None	None	Benjamin Oreskes	None	Yes, Trump did urge people to check out a sex tape	2016-10-09 22:32:57	None
29	“Her and Obama whether you like it or not, the way they got out of Iraq, the vacuum they left, that's why ISIS formed in the first place. They started from the little area and now they are in 32 different nations. Congratulations. Great job.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/no-isis-isnt-operating-in-32-countries-229492	None	None	None	Bryan Bender	None	No, ISIS isn't operating in 32 countries	2016-10-09 22:27:12	None
30	“She was there as Secretary of State when there was the line in the sand.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/clinton-was-not-secretary-of-state-when-syria-crossed-the-red-line-229491	None	None	None	Isaac Arnsdorf	None	Clinton was not secretary of state when Syria crossed the 'red line'	2016-10-09 22:25:12	None
31	“We are going to areas like Syria where they are coming in by the tens of thousands because of Barack Obama and Hillary Clinton wants wants to allow a 550% increase over Obama … I don't want to have with all the problems this country has and all of the problems you see going on, hundreds of thousands of people come in from Syria where we know nothing about them. We know nothing about their values and nothing about their love for our country.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/what-trump-gets-right-and-wrong-about-clintons-syrian-refugee-plan-229487	None	None	None	Ian Kullgren	None	What Trump gets right and wrong about Clinton's Syrian refugee plan	2016-10-09 22:23:01	None
32	“A lot has to do with the fact that our taxes are so high. About the highest in the world.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/no-us-taxes-arent-the-highest-in-the-world-229486	None	None	None	Danny Vinik	None	No, U.S. taxes aren't the highest in the world	2016-10-09 22:22:19	None
33	“The reason they blame Russia is they are trying to tarnish me with Russia. I know about Russia, but not about the inner workings. I have no business there and no loans from Russia. I have a great balance sheet.” — Donald Trump	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/contrary-to-his-claims-there-is-evidence-that-trump-does-business-with-russians-229484	None	None	None	Benjamin Oreskes	None	Yes, there is evidence Trump does business with Russians	2016-10-09 22:18:27	None
34	"As I recall, that was something I said about Abraham Lincoln after having seen the wonderful Steven Spielberg movie." — Hillary Clinton	Wrong	https://www.politico.com/blogs/2016-presidential-debate-fact-check/2016/10/clinton-invokes-lincoln-to-defend-having-a-public-and-a-private-position-229483	None	None	None	Zachary Warmbrodt	None	Clinton invokes Lincoln to defend having 'a public and a private position'	2016-10-09 22:17:15	None
