claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	While plaintiff offered evidence that consumption of coffee increases the risk of harm to the fetus, to infants, to children and to adults, defendants’ medical and epidemiology experts testified that they had no opinion on causation.	Acrylamide isn’t good for you but the amount present in coffee makes no observable contribution to cancer risk. There is no strong evidence for a link between drinking coffee and developing cancer. While there have been occasional studies suggesting an increased risk in bladder cancer, overall the vast majority of rigorous studies suggest that if coffee drinking has any effect at all it actually offers a mild protective effect from some cancer types.	https://theconversation.com/fact-check-does-coffee-cause-cancer-95387	None	Health + Medicine	California Superior Court Judge Elihu Berle, proposed ruling on Council for Education and Research on Toxics vs. Starbucks Corporation et al, March 28 2018.	Simon Baker	['Cancer', 'Coffee', 'Cancer risk', 'Fact Check UK', 'carcinogens']	Fact Check: does coffee cause cancer?	April 23, 2018	None
2	I think if she did ask for a vote then she would win it but I don’t think she needs to ask for it, no … Legally the crown perogative allows the government to take military action without parliament … The idea that parliament has to vote is a new one. Politically it may make sense but she doesn’t need to have it.	In strict legal terms, the statement is correct. The only likely negative consequences for taking military action in Syria without first seeking express approval from the Commons would be political in nature. Yet, under the UK system, an action may be lawful but at the same time unconstitutional, that is to say in violation of a convention. Arguably, a convention exists in this area. However, as the statement correctly argues, it is “new”, with its earliest origins lying in 2003. It remains loosely defined and open to interpretation, though nonetheless of immense significance to the conduct of parliamentary government.	https://theconversation.com/fact-check-does-the-uk-government-need-parliaments-approval-for-military-intervention-in-syria-95003	None	Politics + Society	Tom Tugendhat, Conservative MP and chair of the Foreign Affairs Committee, when asked if the prime minister, Theresa May, would need approval from parliament for military intervention in Syria, on BBC Radio 4 on April 12.	Andrew Blick	['Middle East', 'Syria', 'UK politics', 'International relations', 'Military intervention', 'Bashar al-Assad', 'Fact Check UK', 'UK military']	Fact Check: does the UK government need parliament’s approval for military intervention in Syria?	April 13, 2018	None
3	We have put extra funding in. There are more beds available across the system, we’ve reduced the number of delayed discharges of elderly people who would otherwise have been in NHS beds rather than in social care.	May’s statement is not supported by the currently available data. The total number of available beds actually reduced compared to the same period in 2016. While there was indeed a reduction in bed blocking, this remains well above the long-term trends.	https://theconversation.com/fact-check-are-there-more-beds-available-across-the-nhs-89664	None	Health + Medicine	British prime minister, Theresa May, in comments to the BBC on January 3.	Katja Grasic	['Health', 'NHS', 'Theresa May', 'Fact Check UK', 'Hospital beds']	Fact Check: are there more beds available across the NHS?	January 8, 2018	None
4	When you include those centrally funded and locally delivered projects, this government is spending more per head on transport in the northwest than we are in the southeast.	It might come as a surprise for those in the northwest and Yorkshire to hear that they get about the same amount of transport spending (or more) than the southeast, but at the moment it is technically true. The northeast, meanwhile, remains the poor relation in every measurement of spending. But these simple facts don’t take account of the much higher spending in London or the very different circumstances by which this money is allocated.	https://theconversation.com/fact-check-does-the-north-of-england-now-get-as-much-transport-spending-as-the-south-88275	None	Business + Economy	Chris Grayling, Sectary of State for Transport, 21 September 2017	Colin Bamford	['Transport', 'Infrastructure', 'Public transport', 'Fact Check UK', 'Transport policy', 'Transport funding', 'Transport planning', 'infrastructure spending']	Fact Check: does the north of England now get as much transport spending as the south?	December 5, 2017	None
5	The royals draw millions of tourists every year.	There is an absence of data as to whether tourists go to the UK specifically because of the royal family. However, while tourists might not be primarily attracted to the UK solely by the monarchy, the spectacle of royal events and access to parts of the royal estate across the UK enables VisitBritain and other national tourism agencies to build on Britain’s tourism appeal which blends heritage, pageantry and the contemporary. In this way, the relationship between royalty and tourism has an important economic and destination marketing dimension.	https://theconversation.com/fact-check-do-tourists-visit-britain-because-of-the-royal-family-88335	None	Politics + Society	The Daily Mail, November 20, 2017.	Claire Haven-Tang	['Tourism', 'Monarchy', 'Royal Family', 'Fact Check UK', 'British monarchy']	Fact Check: do tourists visit Britain because of the royal family?	December 1, 2017	None
6	The safety of the public was paramount and therefore once the lynx had strayed over to a populated area of the community it was necessary to act decisively.	The council and local police made the right call. Human life has to come first. Every effort had been made to recapture the animal, and there was nothing more that could have been done.	https://theconversation.com/fact-check-was-it-right-to-kill-lilith-the-escaped-lynx-87543	None	Environment + Energy	Statement from Ceredigion County Council on October 10, 2017.	Samantha Ward	['Zoos', 'Animal law', 'public safety', 'Animals in captivity', 'Fact Check UK', 'Captive wildlife']	Fact Check: was it right to kill Lilith the escaped lynx?	November 15, 2017	None
7	Freezing eggs is extremely unsuccessful. Although it’s never admitted, it is true from the national statistics, how poor the chances of pregnancy are afterwards.	So Robert Winston is right, in a sense, but, as always, there is more to the story.	https://theconversation.com/fact-check-is-freezing-human-eggs-really-extremely-unsuccessful-86729	None	Health + Medicine	Lord Robert Winston, speaking on BBC Radio 4’s Today programme on November 1.	John B Appleby	['IVF', 'Fact Check UK']	Fact Check: Is freezing human eggs really ‘extremely unsuccessful’?	November 9, 2017	None
8	There are probably over a million foreigners here illegally at the moment. There’s a large number, so no one could ever remove those really.	Ultimately there is very little solid evidence on irregular immigration into the UK and so it would be impossible to verify Wood’s claim. The most authoritative research on different migrant populations is usually derived from ten-yearly census data. This can throw up surprising things, such as in 2001 when the census revealed there were a million fewer people living in the country than previously thought.	https://theconversation.com/fact-check-are-there-over-a-million-foreigners-living-illegally-in-britain-85615	None	Politics + Society	David Wood, former director general of immigration enforcement, Home Office, speaking to MPs on the Home Affairs Select Committee on October 10.	Alex Balch	['Immigration', 'Fact Check UK', 'British immigration policy', 'Hostile environment']	Fact Check: are there over a million foreigners living illegally in Britain?	October 17, 2017	None
9	When I was business secretary there were up to nine studies that we looked at that took in all the academic evidence. It showed that immigration had very little impact on wages or employment. But this was suppressed by the Home Office under Theresa May, because the results were inconvenient.	Vince Cable’s understanding of the preponderance of academic evidence on the labour market effects of immigration is accurate. There is little persuasive evidence that immigration has substantial harmful effects on average UK wages or employment. Damian Green is correct to identify effects on the least well paid as being of greatest concern but evidence suggests these effects are not large.	https://theconversation.com/fact-check-does-immigration-have-an-impact-on-wages-or-employment-83666	None	Politics + Society	Vince Cable, leader of the Liberal Democrats, in a statement on September 6.	Ian Preston	['Immigration', 'Employment', 'Wages', 'Jobs', 'Liberal Democrats', 'Vince Cable', 'Fact Check UK', 'Conservatives', 'Low wages']	Fact Check: does immigration have an impact on wages or employment?	September 13, 2017	None
10	The single market is dependent on membership of the EU. What we’ve said all along is that we want a tariff free trade access to the European market and a partnership with Europe in the future.	Corbyn’s assertion that single market access depends on EU membership is factually incorrect. His Brexit-requires-single-market-exit philosophy also involves several dubious assumptions.	https://theconversation.com/fact-check-is-being-in-the-single-market-dependent-on-membership-of-the-eu-81530	None	Politics + Society	Labour leader Jeremy Corbyn speaking to the BBC’s Andrew Marr show on July 23.	Gavin Barrett	['EU', 'Labour Party', 'Brexit', 'Fact Check UK', 'Jeremy Corbyn', 'European single market', 'Single Market', 'Brexit negotiations']	Fact Check: is being in the single market dependent on membership of the EU?	July 26, 2017	None
