claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	On the Gonski school funding arrangements (again)	Half Flip	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/dec/06/christopher-pyne/return-to-gonski/index.html	None	['Education']	Christopher Pyne	Jack Fisher, Michael Koziol, Peter Fray	None	Gonski one minute, back the next?	Friday, December 6, 2013 at 5:24 p.m.	None
2	On school funding.	Full Flop	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/27/christopher-pyne/gonski-conski-sameski-flipski/index.html	None	['Education']	Christopher Pyne	Flynn Murphy, Min Wang, Peter Fray	None	From Gonski to conski to sameski to flipski	Wednesday, November 27, 2013 at 9:16 p.m.	None
3	"With such a regulatory superstructure, it’s hardly surprising that Australia’s ranking in the World Economic Forum’s global competitiveness index has fallen from 12th to 21st; and that [the] ranking for government regulation has fallen... from 68th to 128th over the past six years."	Mostly False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/22/tony-abbott/abbott-blames-red-tape-losing-competitive-edge/index.html	None	['Business Investment', 'Regulation']	Tony Abbott	Michael Koziol, Min Wang, Peter Fray	None	Abbott blames red tape for country losing competitive edge	Friday, November 22, 2013 at 3:35 p.m.	None
4	"Small businesses have been absolutely crippled by the 21,000 new and amended regulations introduced by Labor in their period of government."	Mostly False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/19/bruce-billson/Killer-red-tape-fiction-fact/index.html	None	['Regulation']	Bruce Billson	Ellie Harvey, Michael Koziol, Peter Fray	None	Attack of the killer red tape. More fiction than fact — still	Tuesday, November 19, 2013 at 1:56 p.m.	None
5	Says over half a million houses where construction had already commenced have been cut from Labor’s NBN.	False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/15/australian-labor-party/have-500000-houses-where-construction-had-commence/index.html	None	['National Broadband Network']	Australian Labor Party	Flynn Murphy, Peter Fray	None	Have 500,000 houses where construction had commenced been cut from Labor's NBN?	Friday, November 15, 2013 at 4:07 p.m.	None
6	The Coalition needs to increase the debt limit because Labor "trashed the house before they were evicted".	Mostly False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/15/tony-abbott/Whats-been-trashed-economy-Labor-both/index.html	None	['Debt', 'Economy']	Tony Abbott	Jonathan Pearlman, Peter Fray	None	What's been trashed? The economy, Labor or both?	Friday, November 15, 2013 at 6:03 a.m.	None
7	"Australian wage rates are very high by international standards."	Mostly True	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/14/maurice-newman/are-australian-wages-very-high-international-stand/index.html	None	['Economy', 'Employment', 'Industrial relations']	Maurice Newman	Michael Koziol, Peter Fray	None	Are Australian wages very high by international standards?	Thursday, November 14, 2013 at 11:01 a.m.	None
8	"People on the minimum wage are paying about 72 per cent of their income on a median rental."	Half-True	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/11/scott-ludlam/sydney-melbourne-adelaide-just-slave-minimum-wage/index.html	None	['Housing']	Scott Ludlam	Michael Koziol, Peter Fray	None	Sydney, Melbourne, Adelaide: Just a slave on the minimum wage	Monday, November 11, 2013 at 1:22 p.m.	None
9	The government’s $4.5 billion aid cut is "greater than what was budgeted by our Labor Government in 2013-14 for the entire AusAID country and global program".	Mostly True	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/07/tanya-plibersek/how-much-government-slicing-foreign-aid/index.html	None	['Budget', 'Foreign Aid']	Tanya Plibersek	Michael Koziol, Peter Fray	None	How much is the government slicing from foreign aid?	Thursday, November 7, 2013 at 1:48 p.m.	None
10	"Most of the countries around the world are moving in favour of Direct Action" and "not proceeding with emissions trading schemes or market based mechanisms".	False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/nov/01/joe-hockey/hockey-says-most-countries-moving-toward-direct-ac/index.html	None	['Carbon Tax', 'Climate change', 'Environment', 'Foreign Affairs']	Joe Hockey	Michael Koziol, Peter Fray	None	Hockey says most countries are moving toward Direct Action and not proceeding with emissions trading	Friday, November 1, 2013 at 9:59 a.m.	None
11	UN climate chief Christiana Figueres is "talking through her hat" when she says there is a link between climate change and the NSW bushfires.	False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/28/tony-abbott/abbott-says-climate-chief-talking-through-hat-on-b/index.html	None	['Climate change', 'Environment']	Tony Abbott	Michael Koziol, Peter Fray	None	Abbott says UN climate chief "talking through her hat" on bushfires	Monday, October 28, 2013 at 5:18 p.m.	None
12	Electricity is inelastic and taxing it "simply ends up diverting funds from other elements in a family's budget".	Half-True	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/24/greg-hunt/Hunt-stretching-truth-electricity/index.html	None	['Carbon Tax', 'Cost of living', 'Economy', 'Environment']	Greg Hunt	Michael Koziol, Peter Fray	None	Is Hunt stretching the truth about electricity?	Thursday, October 24, 2013 at 5:07 p.m.	None
13	"Let’s face it, we’ve had the five biggest deficits in Australian history from Wayne Swan’s five budgets."	Mostly False	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/23/tony-abbott/abbott-says-swan-delivered-five-biggest-deficits-e/index.html	None	['Budget', 'Debt', 'Economy']	Tony Abbott	Michael Koziol, Peter Fray	None	Abbott says Wayne Swan delivered five biggest deficits ever	Wednesday, October 23, 2013 at 8:18 p.m.	None
