claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
0	“But a lot of money has been passing to people to come up and try and get to the border by Election Day, because they think that’s a negative for us. … They have lousy policy. The one thing, they stick together, but they wanted that caravan and there are those that say that caravan didn’t just happen. It didn’t just happen. A lot of reasons that caravan, 4,000 people.”	this lacks evidence.	https://www.nytimes.com/2018/10/20/world/americas/migrant-caravan-video-trump.html	None	None	None	Linda Qiu	None	Did Democrats, or George Soros, Fund Migrant Caravan? Despite Republican Claims, No	Oct. 20, 2018	None
1	“And I think I can speak for the people in this room that would have said, ‘Oh, gee, information on my opponent and it’s bad information?’ Name me a politician that would have turned that down. There is no such thing as that kind of a politician.”	this is misleading.	https://www.nytimes.com/2018/10/17/us/politics/fact-check-trump-ap-interview.html	None	None	None	Linda Qiu	None	Trump’s Inaccurate Claims From His A.P. Interview	Oct. 17, 2018	None
2	“The European Union was formed in order to take advantage of us on trade, and that’s what they’ve done.”	false.	https://www.nytimes.com/2018/10/15/us/politics/fact-check-trump-european-union.html	None	None	None	Linda Qiu	None	Trump Falsely Claims E.U. Was Formed to ‘Take Advantage’ of U.S. on Trade	Oct. 15, 2018	None
3	“I think something’s happening. Something’s changing and it will change back again.”	climate change will not reverse itself.	https://www.nytimes.com/2018/10/15/climate/trump-climate-change-fact-check.html	None	None	None	Lisa Friedman	None	‘I Don’t Know That It’s Man-Made,’ Trump Says of Climate Change. It Is.	Oct. 15, 2018	None
4	“The Democrat agenda is radical socialism and open borders. The new platform of the Democrat Party is to abolish ICE.”	false.	https://www.nytimes.com/2018/10/12/us/politics/fact-check-trump-rallies-midterm-campaigns.html	None	None	None	Linda Qiu	None	A Guide to Trump’s Stump Speeches for the Midterm Campaigns	Oct. 12, 2018	None
5	“You go and you look at countries where they essentially have single-payer tax care, single-payer health care. If you look at it, they’re a disaster.”	this lacks evidence.	https://www.nytimes.com/2018/10/11/us/politics/fact-check-trump-medicare-venezuela.html	None	None	None	Linda Qiu	None	Trump Falsely Claims That ‘Medicare for All’ Would Turn the U.S. Into Venezuela	Oct. 11, 2018	None
6	Chris Wallace: “Maybe I have this wrong, but when you blocked Merrick Garland’s nomination from President Obama, you basically said that we don’t do this in a presidential election year and that we wait until the election and then whoever the people choose, they get to pick the Supreme Court nominee.But what you just said now was it’s a question of whether or not it’s the party in control of the Senate is different than the president. The question I guess I’m getting to here is, if Donald Trump were to name somebody in the final year of his first term in 2020, are you saying that you would go ahead with that nomination?” Mr. McConnell: “Well, I understand your question. And what I told you is what the history of the Senate has been. You have to go back to 1880 to find the last time a vacancy created in a presidential election year on the Supreme Court was confirmed by a Senate of a different party than the president.”	this is misleading.	https://www.nytimes.com/2018/10/08/us/politics/fact-check-mcconnell-supreme-court-nominations-.html	None	None	None	Linda Qiu	None	McConnell’s Position Has Shifted on Considering Supreme Court Nominees in Election Years	Oct. 8, 2018	None
7	“They made false statements about me. I never met them. I never met these people. And what did they do, what did they do? They took money in order to say bad things.”	this is misleading.	https://www.nytimes.com/2018/09/27/us/politics/fact-check-trump-news-conference.html	None	None	None	Linda Qiu	None	Checking 6 Claims From Trump’s News Conference	Sept. 27, 2018	None
8	“In less than two years, my administration has accomplished more than almost any administration in the history of our country.”	false.	https://www.nytimes.com/2018/09/25/world/fact-check-trump-speech-united-nations.html	None	None	None	Linda Qiu	None	Fact-Checking Trump’s Speech to the United Nations	Sept. 25, 2018	None
9	“Our economy is the envy right now of the world. We’re the fastest-growing economy in the world. Think of it. As large as we are, we’re the fastest-growing economy in the world, up $10 trillion.”	this is exaggerated.	https://www.nytimes.com/2018/09/24/us/politics/trump-economy-fact-check.html	None	None	None	Linda Qiu	None	Trump’s Inaccurate Claim That U.S. Is ‘the Fastest-Growing Economy in the World’	Sept. 24, 2018	None
10	“When it comes to health insurance, Donald Trump and Republicans will protect patients with pre-existing conditions.”	this requires context.	https://www.nytimes.com/2018/09/21/us/politics/fact-check-trump-pre-existing-health-conditions-.html	None	None	None	Linda Qiu	None	Trump Claims to Protect Pre-Existing Health Conditions. That’s Not What the Government Says.	Sept. 21, 2018	None
13	“They're going to hurt your Social Security so badly, and they're killing you on Medicare. Just remember that. I'm going to protect your Social Security. We're going to take care of your Social Security. We’re going to take care of your Social Security. Matt Rosendale is going to make sure we’re not touching your Social Security and your Medicare is only going one way. That’s stronger. They’re going to end up taking it away from you, and you won’t even know what happened.”	false.	https://www.nytimes.com/2018/09/07/us/politics/fact-check-trump-medicare-social-security-.html	None	None	None	Linda Qiu	None	Trump Falsely Claims He’s Saving Medicare and Social Security, Which He Says Democrats Are ‘Killing’	Sept. 7, 2018	None
14	“I think we did a fantastic job in Puerto Rico. We’re still helping Puerto Rico. The governor is an excellent guy and he’s very happy with the job we’ve done. We have put billions and billions of dollars into Puerto Rico. And it was a very tough one. Don’t forget, their electric plant was dead before the hurricane. If you look back on your records, you’ll see that plant was dead, it was shut, it was bankrupt, it was out of business. They owed tremendous amounts of money. They had it closed up. And then when the hurricane came, people said, ‘What do are we going to do about electricity?’ That wasn’t really the hurricane. That was gone before the hurricane.”	this is exaggerated.	https://www.nytimes.com/2018/08/29/us/politics/fact-check-trump-puerto-rico-hurricane-maria.html	None	None	None	Linda Qiu	None	Trump Claims ‘We Did a Fantastic Job in Puerto Rico’	Aug. 29, 2018	None
15	“This is one of the largest trade deals ever made. Maybe the largest trade deal ever made.”	false.	https://www.nytimes.com/2018/08/27/us/politics/fact-check-trump-nafta-mexico.html	None	None	None	Linda Qiu	None	Trump Falsely Calls Preliminary Pact Between U.S. and Mexico ‘Maybe the Largest Trade Deal Ever’	Aug. 27, 2018	None
16	Ainsley Earhardt, “Fox & Friends” host: “Did you direct him to make the payments?” President Trump: “He made the deal. He made the deals.”	this is misleading.	https://www.nytimes.com/2018/08/23/us/politics/fact-check-trump-fox-interview.html	None	None	None	Linda Qiu	None	Trump’s Inaccurate Claims About Cohen, Obama and Campaign Finance	Aug. 23, 2018	None
17	“We love clean, beautiful West Virginia coal. We love it. And you know that’s indestructible stuff. In times of war, in times of conflict, you can blow up those windmills. They fall down real quick. You can blow up those pipelines. They go like this and you’re not going to fix them too fast. You can do a lot of things to those solar panels. But you know what you can’t hurt? Coal.”	false.	https://www.nytimes.com/2018/08/21/us/politics/trump-fact-check-west-virginia-rally.html	None	None	None	Linda Qiu	None	Trump’s False Claims About Coal, the Environment and West Virginia	Aug. 21, 2018	None
19	“This president, since he took office, in the year and a half that he’s been here, has created 700,000 new jobs for African-Americans. That’s 700,000 African-Americans that are working now that weren’t working when this president took place. When President Obama left after eight years in office — eight years in office — he had only created 195,000 jobs for African-Americans. President Trump, in his first year and a half, has already tripled what President Obama did in eight years.”	false.	https://www.nytimes.com/2018/08/14/us/politics/fact-check-trump-jobs-black-americans.html	None	None	None	Linda Qiu	None	White House Falsely Claims Trump Has Created More Jobs for Black Americans Than Obama Did	Aug. 14, 2018	None
20	“But a lot of money has been passing to people to come up and try and get to the border by Election Day, because they think that’s a negative for us. … They have lousy policy. The one thing, they stick together, but they wanted that caravan and there are those that say that caravan didn’t just happen. It didn’t just happen. A lot of reasons that caravan, 4,000 people.”	this lacks evidence.	https://www.nytimes.com/2018/10/20/world/americas/migrant-caravan-video-trump.html	None	None	None	Linda Qiu	None	Did Democrats, or George Soros, Fund Migrant Caravan? Despite Republican Claims, No	Oct. 20, 2018	None
21	“And I think I can speak for the people in this room that would have said, ‘Oh, gee, information on my opponent and it’s bad information?’ Name me a politician that would have turned that down. There is no such thing as that kind of a politician.”	this is misleading.	https://www.nytimes.com/2018/10/17/us/politics/fact-check-trump-ap-interview.html	None	None	None	Linda Qiu	None	Trump’s Inaccurate Claims From His A.P. Interview	Oct. 17, 2018	None
22	“The European Union was formed in order to take advantage of us on trade, and that’s what they’ve done.”	false.	https://www.nytimes.com/2018/10/15/us/politics/fact-check-trump-european-union.html	None	None	None	Linda Qiu	None	Trump Falsely Claims E.U. Was Formed to ‘Take Advantage’ of U.S. on Trade	Oct. 15, 2018	None
23	“I think something’s happening. Something’s changing and it will change back again.”	climate change will not reverse itself.	https://www.nytimes.com/2018/10/15/climate/trump-climate-change-fact-check.html	None	None	None	Lisa Friedman	None	‘I Don’t Know That It’s Man-Made,’ Trump Says of Climate Change. It Is.	Oct. 15, 2018	None
24	“The Democrat agenda is radical socialism and open borders. The new platform of the Democrat Party is to abolish ICE.”	false.	https://www.nytimes.com/2018/10/12/us/politics/fact-check-trump-rallies-midterm-campaigns.html	None	None	None	Linda Qiu	None	A Guide to Trump’s Stump Speeches for the Midterm Campaigns	Oct. 12, 2018	None
25	“You go and you look at countries where they essentially have single-payer tax care, single-payer health care. If you look at it, they’re a disaster.”	this lacks evidence.	https://www.nytimes.com/2018/10/11/us/politics/fact-check-trump-medicare-venezuela.html	None	None	None	Linda Qiu	None	Trump Falsely Claims That ‘Medicare for All’ Would Turn the U.S. Into Venezuela	Oct. 11, 2018	None
26	Chris Wallace: “Maybe I have this wrong, but when you blocked Merrick Garland’s nomination from President Obama, you basically said that we don’t do this in a presidential election year and that we wait until the election and then whoever the people choose, they get to pick the Supreme Court nominee.But what you just said now was it’s a question of whether or not it’s the party in control of the Senate is different than the president. The question I guess I’m getting to here is, if Donald Trump were to name somebody in the final year of his first term in 2020, are you saying that you would go ahead with that nomination?” Mr. McConnell: “Well, I understand your question. And what I told you is what the history of the Senate has been. You have to go back to 1880 to find the last time a vacancy created in a presidential election year on the Supreme Court was confirmed by a Senate of a different party than the president.”	this is misleading.	https://www.nytimes.com/2018/10/08/us/politics/fact-check-mcconnell-supreme-court-nominations-.html	None	None	None	Linda Qiu	None	McConnell’s Position Has Shifted on Considering Supreme Court Nominees in Election Years	Oct. 8, 2018	None
27	“They made false statements about me. I never met them. I never met these people. And what did they do, what did they do? They took money in order to say bad things.”	this is misleading.	https://www.nytimes.com/2018/09/27/us/politics/fact-check-trump-news-conference.html	None	None	None	Linda Qiu	None	Checking 6 Claims From Trump’s News Conference	Sept. 27, 2018	None
28	“In less than two years, my administration has accomplished more than almost any administration in the history of our country.”	false.	https://www.nytimes.com/2018/09/25/world/fact-check-trump-speech-united-nations.html	None	None	None	Linda Qiu	None	Fact-Checking Trump’s Speech to the United Nations	Sept. 25, 2018	None
29	“Our economy is the envy right now of the world. We’re the fastest-growing economy in the world. Think of it. As large as we are, we’re the fastest-growing economy in the world, up $10 trillion.”	this is exaggerated.	https://www.nytimes.com/2018/09/24/us/politics/trump-economy-fact-check.html	None	None	None	Linda Qiu	None	Trump’s Inaccurate Claim That U.S. Is ‘the Fastest-Growing Economy in the World’	Sept. 24, 2018	None
30	“When it comes to health insurance, Donald Trump and Republicans will protect patients with pre-existing conditions.”	this requires context.	https://www.nytimes.com/2018/09/21/us/politics/fact-check-trump-pre-existing-health-conditions-.html	None	None	None	Linda Qiu	None	Trump Claims to Protect Pre-Existing Health Conditions. That’s Not What the Government Says.	Sept. 21, 2018	None
33	“They're going to hurt your Social Security so badly, and they're killing you on Medicare. Just remember that. I'm going to protect your Social Security. We're going to take care of your Social Security. We’re going to take care of your Social Security. Matt Rosendale is going to make sure we’re not touching your Social Security and your Medicare is only going one way. That’s stronger. They’re going to end up taking it away from you, and you won’t even know what happened.”	false.	https://www.nytimes.com/2018/09/07/us/politics/fact-check-trump-medicare-social-security-.html	None	None	None	Linda Qiu	None	Trump Falsely Claims He’s Saving Medicare and Social Security, Which He Says Democrats Are ‘Killing’	Sept. 7, 2018	None
34	“I think we did a fantastic job in Puerto Rico. We’re still helping Puerto Rico. The governor is an excellent guy and he’s very happy with the job we’ve done. We have put billions and billions of dollars into Puerto Rico. And it was a very tough one. Don’t forget, their electric plant was dead before the hurricane. If you look back on your records, you’ll see that plant was dead, it was shut, it was bankrupt, it was out of business. They owed tremendous amounts of money. They had it closed up. And then when the hurricane came, people said, ‘What do are we going to do about electricity?’ That wasn’t really the hurricane. That was gone before the hurricane.”	this is exaggerated.	https://www.nytimes.com/2018/08/29/us/politics/fact-check-trump-puerto-rico-hurricane-maria.html	None	None	None	Linda Qiu	None	Trump Claims ‘We Did a Fantastic Job in Puerto Rico’	Aug. 29, 2018	None
35	“This is one of the largest trade deals ever made. Maybe the largest trade deal ever made.”	false.	https://www.nytimes.com/2018/08/27/us/politics/fact-check-trump-nafta-mexico.html	None	None	None	Linda Qiu	None	Trump Falsely Calls Preliminary Pact Between U.S. and Mexico ‘Maybe the Largest Trade Deal Ever’	Aug. 27, 2018	None
36	Ainsley Earhardt, “Fox & Friends” host: “Did you direct him to make the payments?” President Trump: “He made the deal. He made the deals.”	this is misleading.	https://www.nytimes.com/2018/08/23/us/politics/fact-check-trump-fox-interview.html	None	None	None	Linda Qiu	None	Trump’s Inaccurate Claims About Cohen, Obama and Campaign Finance	Aug. 23, 2018	None
37	“We love clean, beautiful West Virginia coal. We love it. And you know that’s indestructible stuff. In times of war, in times of conflict, you can blow up those windmills. They fall down real quick. You can blow up those pipelines. They go like this and you’re not going to fix them too fast. You can do a lot of things to those solar panels. But you know what you can’t hurt? Coal.”	false.	https://www.nytimes.com/2018/08/21/us/politics/trump-fact-check-west-virginia-rally.html	None	None	None	Linda Qiu	None	Trump’s False Claims About Coal, the Environment and West Virginia	Aug. 21, 2018	None
39	“This president, since he took office, in the year and a half that he’s been here, has created 700,000 new jobs for African-Americans. That’s 700,000 African-Americans that are working now that weren’t working when this president took place. When President Obama left after eight years in office — eight years in office — he had only created 195,000 jobs for African-Americans. President Trump, in his first year and a half, has already tripled what President Obama did in eight years.”	false.	https://www.nytimes.com/2018/08/14/us/politics/fact-check-trump-jobs-black-americans.html	None	None	None	Linda Qiu	None	White House Falsely Claims Trump Has Created More Jobs for Black Americans Than Obama Did	Aug. 14, 2018	None
