claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Did 21-year-old Sergio Lopez from Albuquerque get arrested for beating up his little brother after he found him masturbating while taking part in the "No Nut November" internet challenge?	Hoax	https://hoax-alert.leadstories.com/3469876-fake-news-man-beats-little-brother-after-he-found-him-masturbating-during-no-nut-november.html	None	None	None	Maarten Schenk	None	Fake News: Man Did NOT Beat Little Brother After He Found Him Masturbating During "No Nut November"	Fri, 02 Nov 2018 11:10:20 Z	None
2	Were none of the 154 mass shootings in the United States this year commited by black men or illegal aliens?	Hoax	https://hoax-alert.leadstories.com/3469875-fake-news-david-brown-154-mass-shootings-this-year-and-not-one-committed-by-a-black-man-or-illegal-a.html	None	None	None	Maarten Schenk	None	Fake News: Black Men DID Commit Some Of This Year's 154 Mass Shootings	Thu, 01 Nov 2018 22:58:17 Z	None
3	Were 1600 cars burned in France during a so called Halloween Purge and were 320 people wounded and 23 killed?	Hoax	https://hoax-alert.leadstories.com/3469874-fake-news-purge-dhalloween-1600-voitures-brulees-320-blesses-23-morts-legers.html	None	None	None	Maarten Schenk	None	Fake News: Halloween Purge in France, NO 1600 Cars Burned, NO 320 Wounded, NO 23 Dead	Thu, 01 Nov 2018 11:56:43 Z	None
4	None	Hoax	https://hoax-alert.leadstories.com/3469873-fake-news-trump-strips-citizenship-from-children-of-immigrants-thus-disqualifying-himself-from-presi.html	None	None	None	Maarten Schenk	None	Fake News: Trump Did NOT Strip Citizenship from Children of Immigrants (Yet), Did NOT Disqualify Himself from Presidency	Wed, 31 Oct 2018 00:03:17 Z	None
5	None	Hoax	https://hoax-alert.leadstories.com/3469869-fake-news-sam-hyde-is-not-the-pittsburgh-synagogue-shooter.html	None	None	None	Maarten Schenk	None	Fake News: Sam Hyde Is NOT The Pittsburgh Synagogue Shooter	Sat, 27 Oct 2018 15:13:52 Z	None
6	None	Hoax	https://hoax-alert.leadstories.com/3469871-satirical-fake-news-writer-christopher-blair-announces-midterm-election-moratorium.html	None	None	None	Maarten Schenk	None	Satirical Fake News Writer Christopher Blair Announces Midterm Election Moratorium	Sat, 27 Oct 2018 14:54:35 Z	None
7	Is a woman accused of stealing a pumpkin by hiding it in her vagina?	Hoax	https://hoax-alert.leadstories.com/3469867-fake-news-woman-accused-of-stealing-a-pumpkin-by-hiding-it-in-her-vagina.html	None	None	None	Alan Duke	None	Fake News: Woman NOT accused of stealing a pumpkin by hiding it in her vagina	Fri, 26 Oct 2018 20:29:25 Z	None
8	Did 22-year-old Tarik Jones win the Powerball lottery, claiming a 1.5 billion prize?	Hoax	https://hoax-alert.leadstories.com/3469863-fake-news-22-year-old-south-carolina-state-student-has-won-15-billion.html	None	None	None	Maarten Schenk	None	Fake News: 22 Year Old South Carolina State Student Did NOT Win 1.5 Billion	Thu, 25 Oct 2018 22:33:27 Z	None
9	Did French rapper Maître Gims die after a road accident in Paris?	Hoax	https://hoax-alert.leadstories.com/3469861-fake-news-accident-grave-a-paris---le-celebre-chanteur-maitre-gims-est-decede-aujourdhui-a-lage-de-3.html	None	None	None	Maarten Schenk	None	Fake News: Singer Maître Gims NOT Dead After Road Accident In Paris	Thu, 25 Oct 2018 21:20:52 Z	None
10	Did so-called deep-state operatives send bombs to several prominent Democrats hoping to influence the outcome of the upcoming midterm elections?	Hoax	https://hoax-alert.leadstories.com/3469860-fake-news-deep-state-sending-explosive-packages-to-themselves-in-hopes-of-stopping-red-wave.html	None	None	None	Maarten Schenk	None	Fake Headline: Deep State NOT PROVEN To Have Sent Explosive Packages To Themselves In Hopes Of Stopping Red Wave	Thu, 25 Oct 2018 13:46:46 Z	None
11	Was singer Rob Halford found unresponsive in his home in San Diego?	Hoax	https://hoax-alert.leadstories.com/3469859-fake-news-metal-legend-rob-halford-found-unresponsive-in-san-diego-home.html	None	None	None	Maarten Schenk	None	Fake News: Metal Legend Rob Halford NOT Found Unresponsive in San Diego Home	Wed, 24 Oct 2018 08:18:25 Z	None
12	Did a team of Saudi crime scene investigators conclude that Jamal Khasoggi killed himself in the Istanbul consulate?	Hoax	https://hoax-alert.leadstories.com/3469858-fake-news-team-of-saudi-forensic-scientists-concludes-death-of-jamal-khashoggi-was-a-suicide.html	None	None	None	Maarten Schenk	None	Fake News: Team of Saudi Forensic Scientists Did NOT Concludes Death of Jamal Khashoggi Was Suicide	Tue, 23 Oct 2018 19:32:20 Z	None
13	Was Bill Nye (also known as The Science Guy) arrested for producing and distributing drugs from his lab?	Hoax	https://hoax-alert.leadstories.com/3469857-fake-news-bill-nye-the-science-guy-arrested-for-manufacturing-and-distribution-of-drugs-from-his-lab.html	None	None	None	Maarten Schenk	None	Fake News: Bill Nye The Science Guy NOT Arrested For Manufacturing And Distribution Of Drugs From His Lab	Tue, 23 Oct 2018 19:16:24 Z	None
14	Is YouTube phenomenon Logan Paul in trouble again after making a video titled "UNBOXING IN GRAVEYARD!! (SAVAGE)" and does it show him digging up a corpse?	Hoax	https://hoax-alert.leadstories.com/3469856-fake-news-logan-paul-apologizes-for-controversial-unboxing-video.html	None	None	None	Maarten Schenk	None	Fake News: Logan Paul Did NOT Make Controversial Video Titled "UNBOXING IN GRAVEYARD", Did NOT Apologize	Tue, 23 Oct 2018 01:44:55 Z	None
15	Did 37-year-old cancer patient Derrick Johnson get beaten up in East Portland after coming out of a chemotherapy session because an Antifa mob mistook him for a neo-nazi?	Hoax	https://hoax-alert.leadstories.com/3469855-fake-news-chemotherapy-patient-beaten-up-by-antifa-mob-after-being-mistaken-for-neo-nazi-skinhead.html	None	None	None	Maarten Schenk	None	Fake News: Chemotherapy Patient NOT Beaten Up By Antifa Mob After Being Mistaken For Neo-Nazi Skinhead	Sun, 21 Oct 2018 02:29:50 Z	None
16	Was Canada able to pay off its entire federal debt one day after legalizing marijuana because of all the extra tax money coming in?	Hoax	https://hoax-alert.leadstories.com/3469854-fake-news-canada-pays-off-entire-federal-debt-one-day-after-marijuana-legalization.html	None	None	None	Maarten Schenk	None	Fake News: Canada Did NOT Pay Off Entire Federal Debt One Day After Marijuana Legalization	Sun, 21 Oct 2018 02:04:41 Z	None
